
company Name,AVG Broker Target,Durability score,Market Capitalization,Valuation score,PE TTM Price to Earnings,Momentum score
hdfc-bank-ltd,2361.2,65,529392.1,20.7,27.8,43.6
state-bank-of-india,347,35,254574.2,17,-20.3,61.7
tata-motors-ltd,350.6,60,65290.0,39.7,-67.2,30.1
hero-motocorp-ltd,3670.4,65,57014.4,30.7,15.6,38.8
adani-ports-special-economic-zone-ltd,485,55,67171.3,26,20.7,38.4
kotak-mahindra-bank-ltd,1331.8,50,215090.5,14.2,32.6,33.7
hindustan-zinc-ltd,307.3,65,111328.8,31.8,13.2,31.0
larsen-toubro-ltd,1545.1,65,191428.3,26.2,20.9,52.9
yes-bank-ltd,338.7,20,49580.7,37.8,11.1,34.4
power-grid-corporation-of-india-ltd,231.4,45,98353.9,46.2,11.4,40.5
infosys-ltd,1010.5,55,290321.9,26.3,17.6,55.0
reliance-industries-ltd,1097.7,60,652897.1,40.7,17.2,56.5
bajaj-auto-ltd,3054.5,60,77261.8,29.2,18.4,39.8
hindustan-unilever-ltd,1756.3,80,351313.2,7.2,61.3,62.4
tata-consultancy-services-ltd,2099.5,55,723750,16.8,25.2,56.7
nhpc-ltd,32,75,25391.8,50.2,9.6,49.9
tata-motors-limited-dvr,null,,5275.7,0,,30.2
indusind-bank-ltd,2017.4,25,88959.3,19.5,23.1,39
ntpc-ltd,195.4,50,127186.2,50,12.4,42.8
housing-development-finance-corporation-ltd,2166.8,50,301997.2,23.7,22.2,42.9
icici-bank-ltd,386.6,40,227262.2,18.7,65.7,66.1
axis-bank-ltd,632.2,20,156227.0,9,5501.2,66.6
tata-steel-ltd,759.7,65,66005.2,77.8,3.6,45.4
coal-india-ltd,342.9,50,165241.3,26.7,19.6,35.7
asian-paints-ltd,1331.9,65,118557.1,8.2,56.5,50.9
wipro-ltd,310.7,60,146260.9,27.8,19.0,65.9
vedanta-ltd,289.7,65,77283,66,6.1,36.4
maruti-suzuki-india-ltd,9250.5,65,213181.8,22,27,37.5
mahindra-mahindra-ltd,1029.7,65,92511.1,34.8,19.2,46.2
oil-and-natural-gas-corporation-ltd,199.4,65,200263.0,61.8,7.9,38.4
bharti-airtel-ltd,426.7,50,121560.9,30.2,125.2,37.7
sun-pharmaceutical-industries-ltd,618.3,40,139123.4,16.8,34.2,54.9
